     3537     5.20000
     0.272206   -0.066859   -0.069933
     0.274218    0.043384   -0.079870
     0.238264    0.147650   -0.069905
     0.272213   -0.066840    0.069922
     0.274240    0.043388    0.079791
     0.238277    0.147634    0.069894
    -0.236167   -0.642881   -0.531075
     0.050451   -0.423171   -0.754647
     0.200259   -0.105351   -0.836606
     0.066823    0.215460   -0.836793
    -0.262740    0.336181   -0.754361
    -0.621242    0.287774   -0.531371
     0.149230   -0.761809   -0.385343
     0.543094   -0.382663   -0.556533
     0.624785    0.038383   -0.599401
     0.469214    0.414256   -0.599451
     0.114040    0.654595   -0.556428
    -0.433292    0.644376   -0.384901
     0.458953   -0.712345   -0.181763
     0.775890   -0.328956   -0.202224
     0.832286    0.112177   -0.214073
     0.668173    0.508750   -0.214077
     0.316542    0.781048   -0.202178
    -0.178586    0.828338   -0.181862
     0.446254   -0.721780    0.176073
     0.774726   -0.332134    0.201489
     0.832673    0.111582    0.212877
     0.668023    0.509448    0.212884
     0.313452    0.782482    0.201446
    -0.194305    0.826037    0.176125
     0.152085   -0.757348    0.392944
     0.545015   -0.382467    0.554787
     0.625960    0.038820    0.598145
     0.470349    0.414781    0.598197
     0.115534    0.655820    0.554674
    -0.428099    0.643234    0.392546
    -0.237057   -0.641994    0.531751
     0.052094   -0.422213    0.755072
     0.201868   -0.104579    0.836316
     0.068489    0.216033    0.836511
    -0.260892    0.336672    0.754784
    -0.621248    0.286508    0.532048
    -0.832762   -1.111910   -0.395707
    -0.507314   -1.027985   -0.878806
    -0.435589   -0.685441   -1.194509
     0.036825   -0.617443   -1.305308
     0.170481   -0.160182   -1.425376
    -0.158105    0.155620   -1.427307
    -0.621132    0.146014   -1.295876
    -0.735518   -0.332030   -1.197994
    -1.092347   -0.324675   -0.887572
    -1.226570   -0.647705   -0.403019
    -0.248381   -1.299993   -0.578571
     0.184467   -1.058407   -0.965488
     0.557268   -0.670808   -1.151472
     0.714856   -0.215697   -1.236477
     0.624265    0.238312   -1.280594
     0.324696    0.570975   -1.286460
    -0.100702    0.728904   -1.242971
    -0.570395    0.664007   -1.148984
    -1.018681    0.352703   -0.961410
    -1.324618   -0.046542   -0.574144
     0.404809   -1.295235   -0.494889
     0.752633   -0.963004   -0.769797
     1.045304   -0.507815   -0.857836
     1.115501    0.019666   -0.917437
     0.972852    0.505335   -0.940540
     0.648884    0.880588   -0.943363
     0.194140    1.096185   -0.920384
    -0.333865    1.112619   -0.858506
    -0.832326    0.896300   -0.768310
    -1.216121    0.603091   -0.493710
    -0.010387   -1.432141   -0.187840
     0.974742   -1.008092   -0.346479
     1.302068   -0.423418   -0.460169
     1.350829    0.150704   -0.488845
     1.182902    0.662905   -0.497715
     0.839521    1.064354   -0.498774
     0.360830    1.309994   -0.490038
    -0.213077    1.352501   -0.460172
    -0.842250    1.121410   -0.345649
    -1.416009    0.215102   -0.187269
    -0.272603   -1.408022    0.171991
     0.974425   -1.007564    0.348898
     1.302247   -0.424839    0.458348
     1.351657    0.149785    0.486833
     1.183554    0.662862    0.496218
     0.839580    1.065002    0.497290
     0.360055    1.310950    0.488048
    -0.214497    1.352880    0.458395
    -0.841853    1.120966    0.348050
    -1.433436   -0.051164    0.170482
     0.383527   -1.312813    0.464595
     0.751651   -0.966834    0.765945
     1.047182   -0.504384    0.857570
     1.116276    0.022744    0.916422
     0.972976    0.506533    0.939767
     0.650061    0.880510    0.942625
     0.197300    1.096449    0.919398
    -0.330160    1.113891    0.858289
    -0.836108    0.896004    0.764539
    -1.237013    0.584296    0.463483
    -0.183884   -1.295131    0.612570
     0.204569   -1.057918    0.961967
     0.563663   -0.667828    1.150091
     0.714871   -0.213174    1.236906
     0.623110    0.238424    1.281135
     0.324484    0.569660    1.287097
    -0.098456    0.728517    1.243378
    -0.566595    0.669432    1.147716
    -1.014907    0.372792    0.957815
    -1.309311    0.018203    0.609748
    -0.833212   -1.105117    0.413394
    -0.489996   -1.030275    0.885921
    -0.439135   -0.679902    1.196375
     0.041625   -0.624314    1.301891
     0.167027   -0.163387    1.425422
    -0.161713    0.152058    1.427287
    -0.625088    0.151622    1.293327
    -0.733379   -0.333519    1.198891
    -1.091730   -0.310717    0.893309
    -1.220473   -0.648613    0.419721
     0.617854   -1.305627    0.003726
     1.218651   -0.775442   -0.000126
     1.418715   -0.271418   -0.000910
     1.423225    0.246680   -0.000899
     1.247227    0.728590   -0.000699
     0.914858    1.117790   -0.000693
     0.467067    1.366846   -0.000888
    -0.044543    1.443757   -0.000883
    -0.573449    1.325736   -0.000110
    -1.192429    0.815180    0.003828
    -0.780905   -1.819041   -0.413108
    -0.697229   -1.556063   -1.087162
    -0.091779   -1.418164   -1.438670
    -0.476038   -1.198098   -1.557989
     0.233051   -0.884347   -1.803608
    -0.200628   -0.757186   -1.864350
     0.152563   -0.243743   -2.001673
    -0.252564    0.038433   -2.006020
    -0.547378   -0.458142   -1.892053
    -0.913100   -0.202464   -1.792941
    -0.835734   -0.908919   -1.601499
    -1.226401   -0.747693   -1.423474
    -1.069148   -1.315679   -1.102404
    -1.267678   -1.523446   -0.401854
    -0.383264   -1.784416   -0.870834
     0.168629   -1.685926   -1.103903
     0.442600   -1.272885   -1.507730
     0.761695   -0.832138   -1.678318
     0.634562   -0.412980   -1.875143
     0.787940    0.034060   -1.862089
     0.463563    0.343267   -1.938211
     0.102362    0.580978   -1.934262
    -0.332588    0.709635   -1.864185
    -0.652433    0.358108   -1.880285
    -1.084879    0.310756   -1.678050
    -1.339489   -0.182469   -1.503947
    -1.579137   -0.610836   -1.105707
    -1.412628   -1.163494   -0.860317
    -0.091890   -1.941699   -0.557443
     0.725591   -1.517311   -1.122795
     1.045851   -1.074802   -1.356606
     1.213658   -0.526747   -1.529365
     1.241694   -0.028421   -1.595861
     1.092365    0.463444   -1.637480
     0.776776    0.819889   -1.677434
     0.379340    1.064962   -1.676705
    -0.083861    1.180380   -1.639834
    -0.587132    1.090191   -1.598794
    -1.017901    0.844680   -1.529633
    -1.432541    0.445728   -1.355926
    -1.682742   -0.039369   -1.120809
    -1.690080   -0.954718   -0.567033
     0.541939   -1.808884   -0.723619
     1.190325   -1.352142   -0.918815
     1.448550   -0.875274   -1.106789
     1.594272   -0.302109   -1.206817
     1.556107    0.266224   -1.263740
     1.355841    0.771201   -1.286983
     1.013501    1.162869   -1.307645
     0.575605    1.430157   -1.308707
     0.070594    1.556374   -1.289224
    -0.468759    1.506346   -1.265136
    -0.990480    1.285279   -1.206810
    -1.435136    0.896418   -1.107340
    -1.744289    0.450404   -0.918682
    -1.858575   -0.335401   -0.722903
     0.346480   -1.975987   -0.254579
     1.331424   -1.454532   -0.448361
     1.723835   -0.727481   -0.767169
     1.840862   -0.102429   -0.830734
     1.767068    0.480083   -0.858122
     1.535637    0.990888   -0.865647
     1.172561    1.396536   -0.874168
     0.711587    1.677513   -0.876913
     0.184562    1.817037   -0.868157
    -0.374661    1.792339   -0.858216
    -0.925831    1.595077   -0.829428
    -1.429570    1.207527   -0.766544
    -1.899923    0.528163   -0.448017
    -1.917436   -0.588905   -0.256927
     0.923935   -1.750107   -0.415755
     1.654752   -1.093639   -0.393869
     1.913784   -0.526574   -0.386694
     1.980650    0.069448   -0.401977
     1.878305    0.631445   -0.403275
     1.630002    1.128592   -0.398442
     1.259116    1.531108   -0.399647
     0.792756    1.815628   -0.405482
     0.264086    1.964232   -0.401789
    -0.290983    1.960419   -0.401831
    -0.836511    1.797288   -0.399233
    -1.336657    1.467622   -0.385765
    -1.724708    0.979654   -0.393755
    -1.978812    0.031347   -0.415574
     0.940385   -1.789440    0.054443
     1.698972   -1.091841    0.103741
     1.966728   -0.465665    0.067233
     2.017854    0.112409    0.070795
     1.909171    0.661925    0.079408
     1.656746    1.156010    0.090636
     1.282171    1.560993    0.093385
     0.810784    1.850774    0.081531
     0.275747    2.001489    0.085948
    -0.279846    2.001050    0.082878
    -0.817323    1.848161    0.075276
    -1.307065    1.541515    0.068539
    -1.743195    1.019762    0.103633
    -2.021300    0.028721    0.053893
    -0.091839   -2.020124    0.006795
     1.357215   -1.486720    0.192390
     1.838312   -0.720000    0.437710
     1.956237   -0.053482    0.509566
     1.866559    0.555458    0.544801
     1.615581    1.074469    0.569911
     1.241155    1.487546    0.579763
     0.768950    1.785391    0.557205
     0.221274    1.929301    0.564107
    -0.355409    1.912827    0.551506
    -0.935010    1.717140    0.516303
    -1.474679    1.312106    0.439412
    -1.939891    0.536995    0.194534
    -1.764200   -0.988358    0.011360
     0.873213   -1.744569    0.532316
     1.473481   -1.225007    0.646215
     1.687875   -0.692404    0.872376
     1.788590   -0.135489    0.933795
     1.717225    0.424393    0.980006
     1.483868    0.920086    1.020274
     1.127257    1.316871    1.041406
     0.679010    1.620869    1.000556
     0.140312    1.743971    1.014032
    -0.408680    1.714864    0.990760
    -0.932424    1.526810    0.942773
